image_id,xmin,ymin,xmax,ymax,class
858.bmp,84,12,96,23,puncta
858.bmp,85,24,97,35,puncta
858.bmp,93,60,105,72,puncta
858.bmp,99,106,110,117,puncta
858.bmp,108,109,120,121,puncta
1285.bmp,7,77,19,89,puncta
1285.bmp,64,70,76,81,puncta
1285.bmp,70,82,82,94,puncta
1285.bmp,77,50,89,61,puncta
1285.bmp,79,99,91,110,puncta
1285.bmp,84,58,95,70,puncta
1285.bmp,85,69,96,81,puncta
1285.bmp,88,43,99,55,puncta
1285.bmp,89,86,101,97,puncta
1285.bmp,92,12,103,23,puncta
1285.bmp,96,31,107,43,puncta
1285.bmp,98,108,110,119,puncta
1285.bmp,102,54,114,65,puncta
1285.bmp,104,84,115,96,puncta
1285.bmp,109,41,121,52,puncta
1285.bmp,111,73,123,85,puncta
1285.bmp,113,10,124,21,puncta
1285.bmp,117,25,128,36,puncta
169.bmp,1,8,13,20,puncta
169.bmp,11,32,22,43,puncta
169.bmp,11,99,23,111,puncta
169.bmp,35,94,47,106,puncta
169.bmp,48,66,60,78,puncta
169.bmp,70,15,82,27,puncta
169.bmp,79,91,91,103,puncta
169.bmp,96,27,108,39,puncta
169.bmp,111,108,123,119,puncta
1287.bmp,0,62,8,74,puncta
1287.bmp,0,62,11,74,puncta
1287.bmp,10,111,22,123,puncta
1287.bmp,14,48,26,59,puncta
1287.bmp,22,47,34,59,puncta
1287.bmp,23,3,35,15,puncta
1287.bmp,26,73,38,85,puncta
1287.bmp,27,54,39,66,puncta
1287.bmp,27,63,39,75,puncta
1287.bmp,27,43,39,55,puncta
1287.bmp,34,117,46,128,puncta
1287.bmp,34,54,46,66,puncta
1287.bmp,41,22,53,34,puncta
1287.bmp,41,33,53,45,puncta
1287.bmp,44,107,56,119,puncta
1287.bmp,46,26,58,38,puncta
1287.bmp,52,107,63,118,puncta
1287.bmp,53,23,65,35,puncta
1287.bmp,55,35,66,46,puncta
1287.bmp,56,2,68,14,puncta
1287.bmp,58,22,70,34,puncta
1287.bmp,58,55,70,67,puncta
1287.bmp,62,97,74,109,puncta
1287.bmp,64,88,76,100,puncta
1287.bmp,65,65,77,77,puncta
1287.bmp,65,85,77,97,puncta
1287.bmp,76,54,88,66,puncta
1287.bmp,77,72,89,84,puncta
1287.bmp,77,14,89,26,puncta
1287.bmp,83,38,95,50,puncta
1287.bmp,84,6,96,18,puncta
1287.bmp,85,29,96,40,puncta
1287.bmp,87,20,99,32,puncta
1287.bmp,90,3,102,15,puncta
1287.bmp,90,77,102,89,puncta
1287.bmp,91,119,102,128,puncta
1287.bmp,93,21,105,33,puncta
1287.bmp,101,103,113,115,puncta
1287.bmp,107,5,119,17,puncta
1287.bmp,112,8,124,20,puncta
1287.bmp,115,96,126,107,puncta
1920.bmp,11,61,23,73,puncta
1920.bmp,12,35,24,46,puncta
1920.bmp,19,46,31,58,puncta
1920.bmp,24,40,36,52,puncta
1920.bmp,31,35,43,47,puncta
1920.bmp,46,4,58,16,puncta
1920.bmp,68,38,79,49,puncta
1920.bmp,70,29,82,41,puncta
1920.bmp,83,19,95,31,puncta
1920.bmp,88,8,100,20,puncta
1920.bmp,118,111,128,123,puncta
1920.bmp,120,118,128,128,puncta
587.bmp,37,78,49,90,puncta
587.bmp,108,91,120,103,puncta
587.bmp,109,78,120,90,puncta
587.bmp,119,71,128,83,puncta
587.bmp,120,79,128,91,puncta
037.bmp,105,74,117,86,puncta
037.bmp,108,67,120,79,puncta
1387.bmp,0,18,11,30,puncta
1387.bmp,28,63,40,75,puncta
1387.bmp,76,10,88,22,puncta
1387.bmp,93,9,105,21,puncta
1387.bmp,110,3,122,15,puncta
159.bmp,8,38,20,50,puncta
159.bmp,24,73,36,85,puncta
159.bmp,39,66,51,78,puncta
159.bmp,47,73,59,85,puncta
159.bmp,51,79,63,91,puncta
159.bmp,55,16,67,28,puncta
159.bmp,56,47,68,59,puncta
159.bmp,63,83,75,95,puncta
159.bmp,67,53,79,65,puncta
159.bmp,71,83,83,95,puncta
159.bmp,86,118,98,128,puncta
159.bmp,95,48,107,60,puncta
159.bmp,120,103,128,114,puncta
815.bmp,19,102,31,114,puncta
815.bmp,26,91,38,102,puncta
815.bmp,61,59,73,70,puncta
815.bmp,68,95,80,107,puncta
815.bmp,99,81,110,92,puncta
1911.bmp,1,48,13,60,puncta
1911.bmp,7,86,19,98,puncta
1911.bmp,14,100,26,112,puncta
1911.bmp,15,45,27,57,puncta
1911.bmp,16,22,28,34,puncta
1911.bmp,17,36,29,48,puncta
1911.bmp,24,49,36,61,puncta
1911.bmp,52,47,64,59,puncta
1911.bmp,56,13,68,25,puncta
1911.bmp,56,50,68,62,puncta
1911.bmp,61,66,73,78,puncta
1911.bmp,62,54,74,66,puncta
1911.bmp,71,106,83,118,puncta
1911.bmp,76,24,88,36,puncta
1911.bmp,77,6,89,18,puncta
1911.bmp,78,104,90,115,puncta
1911.bmp,80,32,92,44,puncta
1911.bmp,86,41,98,53,puncta
1911.bmp,97,67,109,79,puncta
1911.bmp,102,17,114,29,puncta
1911.bmp,118,75,128,87,puncta
540.bmp,41,5,53,17,puncta
540.bmp,49,52,61,64,puncta
540.bmp,51,21,63,33,puncta
540.bmp,76,120,88,128,puncta
540.bmp,76,91,88,103,puncta
540.bmp,105,39,117,51,puncta
496.bmp,0,58,8,70,puncta
496.bmp,0,67,8,79,puncta
496.bmp,58,82,70,94,puncta
496.bmp,69,66,81,78,puncta
496.bmp,72,51,84,63,puncta
496.bmp,77,72,89,84,puncta
496.bmp,116,0,128,10,puncta
496.bmp,119,0,128,10,puncta
1137.bmp,0,80,10,92,puncta
1137.bmp,22,22,34,34,puncta
1137.bmp,34,30,46,42,puncta
1137.bmp,61,50,73,62,puncta
1137.bmp,61,103,73,115,puncta
1137.bmp,67,108,79,120,puncta
1137.bmp,69,112,81,124,puncta
1137.bmp,112,83,124,95,puncta
1137.bmp,119,87,128,99,puncta
1864.bmp,19,8,31,20,puncta
1864.bmp,23,13,35,25,puncta
1864.bmp,25,87,37,99,puncta
1864.bmp,34,101,46,113,puncta
1864.bmp,50,35,62,47,puncta
1864.bmp,58,24,70,36,puncta
1864.bmp,59,96,70,108,puncta
1864.bmp,70,106,82,118,puncta
1864.bmp,71,26,83,38,puncta
1864.bmp,73,11,85,23,puncta
1864.bmp,85,54,97,66,puncta
215.bmp,18,49,30,61,puncta
215.bmp,50,73,62,85,puncta
215.bmp,58,65,70,77,puncta
215.bmp,61,83,73,95,puncta
215.bmp,72,76,84,87,puncta
215.bmp,74,30,86,41,puncta
215.bmp,82,78,94,90,puncta
215.bmp,82,15,94,27,puncta
215.bmp,85,84,97,96,puncta
215.bmp,87,62,99,74,puncta
034.bmp,16,37,28,49,puncta
034.bmp,28,18,39,30,puncta
034.bmp,43,7,55,19,puncta
034.bmp,52,64,64,76,puncta
034.bmp,57,15,69,27,puncta
034.bmp,82,41,94,53,puncta
861.bmp,0,104,11,115,puncta
861.bmp,2,76,13,87,puncta
861.bmp,2,95,14,107,puncta
861.bmp,10,84,22,96,puncta
861.bmp,11,71,22,83,puncta
861.bmp,14,75,25,86,puncta
861.bmp,51,45,63,57,puncta
861.bmp,62,76,73,87,puncta
861.bmp,72,49,83,61,puncta
861.bmp,83,47,95,59,puncta
861.bmp,84,65,96,77,puncta
861.bmp,91,19,103,31,puncta
861.bmp,108,1,119,13,puncta
861.bmp,108,67,119,79,puncta
861.bmp,120,102,128,114,puncta
191.bmp,6,57,18,69,puncta
191.bmp,21,58,33,70,puncta
191.bmp,77,56,89,68,puncta
191.bmp,91,58,103,70,puncta
191.bmp,109,31,121,43,puncta
950.bmp,0,0,8,7,puncta
950.bmp,6,36,18,48,puncta
950.bmp,8,76,20,87,puncta
950.bmp,10,0,22,9,puncta
950.bmp,12,46,24,58,puncta
950.bmp,23,40,34,52,puncta
950.bmp,23,2,35,13,puncta
950.bmp,30,94,41,105,puncta
950.bmp,38,58,50,69,puncta
950.bmp,38,76,50,88,puncta
950.bmp,51,89,63,100,puncta
950.bmp,65,69,76,81,puncta
950.bmp,67,74,79,85,puncta
950.bmp,71,16,82,27,puncta
950.bmp,91,107,103,119,puncta
950.bmp,93,21,104,32,puncta
950.bmp,96,0,107,7,puncta
950.bmp,111,9,123,21,puncta
950.bmp,116,60,128,72,puncta
950.bmp,119,43,128,54,puncta
950.bmp,120,3,128,15,puncta
1654.bmp,2,4,14,16,puncta
1654.bmp,33,35,45,47,puncta
1654.bmp,35,23,47,35,puncta
1654.bmp,41,93,53,105,puncta
1654.bmp,70,0,82,8,puncta
1654.bmp,79,64,91,76,puncta
1654.bmp,88,73,100,85,puncta
1654.bmp,90,106,102,118,puncta
1654.bmp,93,87,105,99,puncta
1654.bmp,94,80,106,92,puncta
1654.bmp,95,82,107,94,puncta
1654.bmp,97,98,109,110,puncta
1654.bmp,102,103,114,115,puncta
1654.bmp,105,15,117,27,puncta
1654.bmp,116,103,128,115,puncta
1654.bmp,118,50,128,62,puncta
834.bmp,1,32,12,43,puncta
834.bmp,30,116,42,128,puncta
834.bmp,35,0,46,7,puncta
834.bmp,37,71,48,82,puncta
834.bmp,38,85,49,97,puncta
834.bmp,48,52,60,63,puncta
834.bmp,53,50,65,62,puncta
834.bmp,71,80,83,92,puncta
834.bmp,72,115,84,127,puncta
834.bmp,81,119,93,128,puncta
834.bmp,84,56,96,68,puncta
834.bmp,85,28,97,40,puncta
834.bmp,87,116,98,127,puncta
834.bmp,92,46,104,57,puncta
834.bmp,95,65,107,76,puncta
834.bmp,99,50,111,61,puncta
834.bmp,114,68,125,80,puncta
834.bmp,118,74,128,86,puncta
834.bmp,120,85,128,96,puncta
834.bmp,120,117,128,128,puncta
004.bmp,17,70,29,82,puncta
004.bmp,21,53,33,65,puncta
004.bmp,26,36,38,48,puncta
004.bmp,28,90,40,102,puncta
004.bmp,46,28,58,40,puncta
004.bmp,47,42,59,54,puncta
004.bmp,59,61,71,73,puncta
004.bmp,66,107,78,119,puncta
004.bmp,84,68,96,80,puncta
004.bmp,93,105,105,117,puncta
004.bmp,104,59,116,71,puncta
004.bmp,111,119,123,128,puncta
1232.bmp,18,25,30,37,puncta
1232.bmp,19,5,30,17,puncta
1232.bmp,20,19,32,31,puncta
1232.bmp,36,51,48,63,puncta
1232.bmp,50,117,62,128,puncta
1232.bmp,104,92,116,104,puncta
546.bmp,9,86,21,98,puncta
546.bmp,43,56,55,68,puncta
546.bmp,81,68,93,80,puncta
546.bmp,114,60,126,72,puncta
513.bmp,0,95,11,107,puncta
513.bmp,0,38,12,50,puncta
637.bmp,21,40,33,51,puncta
637.bmp,32,14,44,26,puncta
637.bmp,41,94,53,106,puncta
637.bmp,50,17,62,29,puncta
637.bmp,80,10,92,22,puncta
637.bmp,115,24,127,36,puncta
637.bmp,116,21,128,33,puncta
637.bmp,120,54,128,65,puncta
703.bmp,18,61,29,72,puncta
703.bmp,20,8,32,20,puncta
703.bmp,30,14,41,25,puncta
703.bmp,35,34,47,45,puncta
703.bmp,44,119,55,128,puncta
703.bmp,47,48,59,60,puncta
703.bmp,54,15,65,27,puncta
703.bmp,56,0,67,11,puncta
703.bmp,56,23,68,35,puncta
703.bmp,67,0,79,9,puncta
703.bmp,76,31,88,43,puncta
703.bmp,96,24,107,35,puncta
703.bmp,105,9,117,21,puncta
703.bmp,121,14,128,26,puncta
659.bmp,0,45,10,56,puncta
659.bmp,2,37,14,48,puncta
659.bmp,5,48,16,59,puncta
659.bmp,7,60,19,72,puncta
659.bmp,40,51,51,62,puncta
659.bmp,48,37,60,49,puncta
659.bmp,58,49,70,60,puncta
659.bmp,63,40,75,52,puncta
659.bmp,69,29,80,41,puncta
659.bmp,71,104,83,116,puncta
659.bmp,76,1,87,13,puncta
659.bmp,81,77,92,88,puncta
659.bmp,85,62,96,74,puncta
659.bmp,88,102,100,114,puncta
659.bmp,100,102,111,114,puncta
659.bmp,112,106,124,118,puncta
659.bmp,116,62,128,74,puncta
659.bmp,120,72,128,84,puncta
659.bmp,120,90,128,102,puncta
1221.bmp,16,9,28,20,puncta
1221.bmp,18,38,30,49,puncta
1221.bmp,21,18,32,29,puncta
1221.bmp,63,6,74,17,puncta
1221.bmp,72,27,84,39,puncta
706.bmp,0,95,8,106,puncta
706.bmp,7,23,19,35,puncta
706.bmp,13,107,25,119,puncta
706.bmp,31,59,43,71,puncta
706.bmp,41,59,53,71,puncta
706.bmp,56,66,68,78,puncta
706.bmp,62,62,73,73,puncta
706.bmp,63,107,75,118,puncta
706.bmp,105,51,117,63,puncta
706.bmp,118,29,128,40,puncta
1806.bmp,7,20,18,31,puncta
1806.bmp,33,53,45,65,puncta
1806.bmp,46,32,58,44,puncta
1806.bmp,63,18,75,30,puncta
211.bmp,3,36,15,48,puncta
211.bmp,5,38,17,50,puncta
211.bmp,43,41,55,53,puncta
211.bmp,44,17,56,29,puncta
211.bmp,54,28,66,40,puncta
211.bmp,77,17,89,29,puncta
211.bmp,96,39,108,51,puncta
001.bmp,0,0,9,11,puncta
001.bmp,2,26,14,38,puncta
001.bmp,5,17,17,29,puncta
001.bmp,12,37,24,49,puncta
001.bmp,15,14,27,26,puncta
001.bmp,20,19,32,31,puncta
001.bmp,26,42,38,54,puncta
001.bmp,30,18,42,30,puncta
001.bmp,61,49,73,61,puncta
001.bmp,68,43,80,55,puncta
281.bmp,10,37,22,49,puncta
281.bmp,15,13,27,25,puncta
281.bmp,23,7,35,18,puncta
281.bmp,37,101,49,113,puncta
281.bmp,52,49,64,61,puncta
281.bmp,64,116,75,127,puncta
281.bmp,65,95,77,107,puncta
281.bmp,70,102,82,114,puncta
281.bmp,90,33,102,45,puncta
281.bmp,94,51,106,63,puncta
281.bmp,96,23,108,35,puncta
281.bmp,99,21,111,33,puncta
281.bmp,102,6,114,18,puncta
923.bmp,5,36,17,48,puncta
923.bmp,14,57,25,69,puncta
923.bmp,26,36,37,48,puncta
923.bmp,37,59,48,71,puncta
923.bmp,41,81,52,93,puncta
923.bmp,52,84,64,96,puncta
923.bmp,63,107,74,119,puncta
923.bmp,64,100,75,111,puncta
923.bmp,69,95,80,106,puncta
923.bmp,70,111,81,123,puncta
923.bmp,76,99,87,111,puncta
923.bmp,81,108,93,119,puncta
923.bmp,96,113,107,125,puncta
619.bmp,12,55,24,67,puncta
619.bmp,19,65,31,77,puncta
619.bmp,20,88,32,100,puncta
619.bmp,24,93,36,105,puncta
619.bmp,32,97,44,109,puncta
619.bmp,50,92,62,104,puncta
619.bmp,67,80,79,92,puncta
619.bmp,80,88,92,100,puncta
619.bmp,112,94,123,106,puncta
1738.bmp,25,88,37,100,puncta
1738.bmp,33,91,45,103,puncta
1738.bmp,49,104,61,116,puncta
1738.bmp,70,66,82,78,puncta
1738.bmp,87,38,98,50,puncta
1738.bmp,90,43,101,54,puncta
1738.bmp,94,34,106,45,puncta
1738.bmp,110,60,122,72,puncta
1738.bmp,115,1,127,13,puncta
931.bmp,0,71,8,82,puncta
931.bmp,1,6,12,17,puncta
931.bmp,3,112,14,123,puncta
931.bmp,8,106,19,118,puncta
931.bmp,8,119,20,128,puncta
931.bmp,12,20,24,32,puncta
931.bmp,21,7,33,18,puncta
931.bmp,32,91,44,102,puncta
931.bmp,49,18,60,30,puncta
931.bmp,50,99,61,111,puncta
931.bmp,53,108,64,120,puncta
931.bmp,57,87,69,98,puncta
931.bmp,61,77,72,89,puncta
931.bmp,63,61,74,73,puncta
931.bmp,65,58,76,70,puncta
931.bmp,65,22,77,34,puncta
931.bmp,69,55,81,66,puncta
931.bmp,75,88,86,100,puncta
931.bmp,78,56,90,68,puncta
931.bmp,81,45,92,57,puncta
931.bmp,81,118,93,128,puncta
931.bmp,82,17,93,29,puncta
931.bmp,88,13,100,25,puncta
931.bmp,96,112,108,124,puncta
931.bmp,97,0,108,7,puncta
931.bmp,103,23,115,35,puncta
931.bmp,113,17,124,28,puncta
931.bmp,114,94,126,105,puncta
931.bmp,115,119,126,128,puncta
931.bmp,118,19,128,31,puncta
1169.bmp,2,16,14,28,puncta
1169.bmp,9,13,21,25,puncta
1169.bmp,11,16,23,28,puncta
1169.bmp,46,38,58,50,puncta
1169.bmp,76,113,88,125,puncta
1169.bmp,76,118,88,128,puncta
1169.bmp,80,11,92,23,puncta
1169.bmp,97,103,109,115,puncta
1169.bmp,114,101,126,113,puncta
1770.bmp,0,93,9,105,puncta
1770.bmp,0,88,11,100,puncta
1770.bmp,12,99,24,111,puncta
1770.bmp,14,109,26,121,puncta
1770.bmp,14,116,26,128,puncta
1770.bmp,18,0,30,11,puncta
1770.bmp,21,117,32,128,puncta
1770.bmp,28,0,40,11,puncta
1770.bmp,45,64,57,76,puncta
1770.bmp,55,92,67,104,puncta
1770.bmp,70,117,82,128,puncta
1770.bmp,91,73,103,84,puncta
1770.bmp,95,55,106,66,puncta
1770.bmp,96,0,108,10,puncta
1770.bmp,100,63,112,75,puncta
1770.bmp,105,0,117,10,puncta
1770.bmp,106,101,118,112,puncta
1770.bmp,118,106,128,118,puncta
634.bmp,20,21,32,32,puncta
634.bmp,36,41,48,53,puncta
634.bmp,39,44,51,56,puncta
634.bmp,64,43,76,55,puncta
1543.bmp,0,53,8,65,puncta
1543.bmp,2,23,14,35,puncta
1543.bmp,5,2,17,14,puncta
1543.bmp,6,30,18,42,puncta
1543.bmp,15,40,27,52,puncta
1543.bmp,19,24,31,36,puncta
1543.bmp,27,20,39,32,puncta
1543.bmp,28,0,40,7,puncta
1543.bmp,30,82,42,94,puncta
1543.bmp,30,86,42,98,puncta
1543.bmp,32,101,44,113,puncta
1543.bmp,33,77,45,89,puncta
1543.bmp,38,1,50,13,puncta
1543.bmp,43,62,55,74,puncta
1543.bmp,43,16,55,28,puncta
1543.bmp,51,18,63,30,puncta
1543.bmp,56,99,67,110,puncta
1543.bmp,64,18,76,30,puncta
1543.bmp,68,9,80,21,puncta
1543.bmp,71,116,83,128,puncta
1543.bmp,74,37,86,49,puncta
1543.bmp,74,12,86,24,puncta
1543.bmp,76,8,88,20,puncta
1543.bmp,83,35,95,47,puncta
1543.bmp,83,63,95,75,puncta
1543.bmp,84,93,95,105,puncta
1543.bmp,86,28,98,40,puncta
1543.bmp,106,5,118,17,puncta
1543.bmp,111,43,123,55,puncta
1543.bmp,116,0,128,10,puncta
1543.bmp,119,16,128,28,puncta
